depot,truck,timestamp,speed,distance,socpercent,chargingstatus,ignitionstatus,energytype,accumulatedkwh
Performance Team (Commerce),VNR 1,2023-09-11 15:31:22+00,0,0.2175264139216905,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:31:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:34:22+00,3.107520198881293,0.077688005,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:34:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:34:44+00,0,0.009495201,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:34:44+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:37:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:37:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:40:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:40:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:41:39+00,4.9720323182100685,0.053173123,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:41:39+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:43:22+00,0,0.071127685,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:43:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:46:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:46:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:49:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:49:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:52:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:52:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:55:22+00,3.107520198881293,0.077688005,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:55:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:58:22+00,8.079552517091361,0.27967681789931637,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:58:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:01:22+00,0,0.20198881292728404,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:01:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:04:22+00,4.9720323182100685,0.12430080795525172,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:04:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:07:22+00,6.836544437538844,0.29521441889372285,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 16:07:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
